Name	GeneDB IDs	Log2 H/L	Log10 (Int H*L)	Group	Glycosome status 
	Tb11.01.2550 	0.536555074	14.51729619	i	red
	Tb09.244.2810 	0.5360529	12.02375071	i	red
	Tb927.8.690 	0.534502442	12.2256051	i	red
	Tb927.7.3830 	0.534460082	13.32547341	i	red
	Tb927.10.4440 	0.533847984	12.74463209	i	red
	Tb927.10.900 	0.533593651	13.58549095	i	red
	Tb927.7.640 	0.533547443	14.47073165	i	red
	Tb927.3.1790 	0.532953286	17.08603513	i	red
	Tb11.01.5890 	0.532067552	12.72738242	i	red
	Tb11.01.5140 	0.529614901	11.60696472	i	red
	Tb927.1.1150 	0.529486848	13.43194051	i	red
	Tb11.02.3065 	0.528156194	12.44331421	i	red
	Tb927.10.1660 	0.526654667	13.705495	i	red
	Tb11.02.0800 	0.523725151	14.66730184	i	red
	Tb927.1.1580 	0.520557422	13.81485637	i	red
	Tb927.5.550 	0.52018621	15.28217038	i	red
	Tb09.211.0220 	0.519640685	14.37774299	i	red
	Tb927.10.1050 	0.51944126	11.75802896	i	red
	Tb927.4.830 	0.517628449	11.46303615	i	red
	Tb927.8.6410 	0.517404225	12.52980025	i	red
	Tb927.8.1420 	0.51516828	14.47619108	i	red
	Tb927.10.11200 	0.514737161	13.20522386	i	red
	Tb927.8.4630 	0.511164389	11.2153797	i	red
	Tb927.10.13570 	0.510658162	12.61617153	i	red
	Tb927.6.1440 	0.509614939	10.52011708	i	red
	Tb927.7.3120 	0.509189586	13.40222889	i	red
	Tb11.01.8775 	0.508648902	12.68470311	i	red
	Tb11.02.4330 	0.507876178	14.84606338	i	red
	Tb927.7.870 	0.507789417	12.46716292	i	red
	Tb927.10.280 	0.50714416	15.51655891	i	red
	Tb927.7.4480 	0.506297265	13.9019499	i	red
	Tb927.2.220 	0.50475511	11.6494746	i	red
	Tb927.2.5930 	0.503833503	12.06905066	i	red
	Tb927.4.730 	0.501785219	13.04879645	i	red
	Tb927.7.1580 	0.499680087	11.18453676	i	red
	Tb09.160.2840 	0.499049863	15.56355795	i	red
	Tb927.8.1240 	0.496444297	13.31301903	i	red
	Tb927.10.4240 	0.494397365	16.47751318	i	red
	Tb927.8.1890 	0.492000653	16.57097377	i	red
	Tb927.8.2400 	0.488855857	10.52352773	i	red
	Tb11.02.2280 	0.487672393	13.39320063	i	red
	Tb927.7.4010 	0.485735943	10.51969125	i	red
	Tb09.160.5110 	0.484833976	14.03918709	i	red
	Tb927.10.11030 	0.484563714	14.19851167	i	red
	Tb927.6.5050 	0.481298942	13.2333431	i	red
	Tb927.4.4540 	0.47902356	13.25438172	i	red
	Tb927.10.4280 	0.477225034	15.53845296	i	red
	Tb11.01.2220 	0.476537226	10.95482148	i	red
	Tb09.160.1140 	0.473667812	13.96863575	i	red
	Tb927.10.5220 	0.473123351	13.41726707	i	red
	Tb927.4.4620 	0.472945678	15.760904	i	red
	Tb927.8.2300 	0.471785707	12.68698508	i	red
	Tb927.5.1810 	0.471587	15.54566516	i	red
	Tb11.57.0002 	0.470094293	12.85048154	i	red
	Tb11.01.1160 	0.469389847	11.99826112	i	red
	Tb11.01.8070 	0.468511073	13.22326559	i	red
	Tb927.1.2985 	0.468009774	11.89429864	i	red
	Tb11.01.4470 	0.466981767	12.01247147	i	red
	Tb927.7.4070 	0.466959363	15.4753979	i	red
	Tb927.7.210 	0.463840323	17.45359062	i	red
	Tb09.211.1650 	0.463808081	14.60604272	i	red
	Tb11.01.4702 	0.463657135	15.50316286	i	red
	Tb927.7.2590 	0.463147783	13.2395784	i	red
	Tb927.10.16150 	0.460827555	15.01519613	i	red
	Tb927.10.2540 	0.460690149	13.0642671	i	red
	Tb927.10.10740 	0.458066971	12.14401237	i	red
	Tb09.160.5200 	0.456695302	16.28147326	i	red
	Tb927.6.3890 	0.453441827	13.1935159	i	red
	Tb927.4.5210 	0.453227826	9.438922908	i	red
	Tb11.01.1620 	0.45206823	13.41634695	i	red
	Tb11.01.8440 	0.447096439	14.44605737	i	red
	Tb927.4.210 	0.446917547	12.11947699	i	red
	Tb927.7.5230 	0.445466673	15.23720318	i	red
	Tb927.3.830 	0.445302942	12.44348993	i	red
	Tb11.01.6920 	0.442906279	13.74354084	i	red
	Tb927.3.1410 	0.442657233	15.68743398	i	red
	Tb09.160.2000 	0.44241836	10.77858704	i	red
	Tb927.10.4880 	0.440166922	15.08712269	i	red
	Tb11.02.2480 	0.439687278	12.61335397	i	red
	Tb927.10.14990 	0.439006839	15.772287	i	red
	Tb927.10.16040 	0.438931542	11.59997631	i	red
	Tb927.4.3300 	0.438925997	14.13053127	i	red
	Tb927.7.6990 	0.438340049	12.85707302	i	red
	Tb927.8.4380 	0.437539895	13.83290419	i	red
	Tb927.10.9810 	0.436127565	14.72187265	i	red
	Tb927.5.2320 	0.435929444	15.24155781	i	red
	Tb927.2.2510 	0.433092646	18.16544504	i	red
	Tb927.10.6600 	0.43035337	11.40026643	i	red
	Tb927.10.11330 	0.429325398	11.42413354	i	red
	Tb927.5.4500 	0.429018199	16.99821768	i	red
	Tb11.02.4440 	0.428623235	15.69950139	i	red
	Tb927.10.15470 	0.427703479	14.12148315	i	red
	Tb11.01.2650 	0.425351877	11.14017208	i	red
	Tb09.160.0830 	0.424295022	12.66655138	i	red
	Tb927.7.2710 	0.423094369	14.77491762	i	red
